ai_score,atr,book_imbalance,btc_move,confidence,created_at,direction,ema200_distance,ema20_distance,ema50_distance,fear_greed,feature_spec_version,feature_version,funding,gate_decision,holding_time,hour,liquidation_metric,macd,macro_score,mae,market_regime,mfe,ml_may_execute,news_category,news_score,oi_delta,paper_trade_id,pattern,pnl,pnl_pct,profitable,result,rsi,sample_id,shadow_mode,spread,symbol,time_to_expiry,trend,volatility,volume,vwap_distance,weekday
,50.0,,,,1785361779,LONG,,,,22.0,v1,v1,54.1,REGIME_EXPLORE,185835.0,21.0,,,,0.0,RANGE,1.6668,False,NULL,,-53867.683,46,"{""candidate_state"": ""provisional"", ""reje",33.3355,1.6668,1,WIN,,validation_signal:46,True,,BTC,,0.0,50.0,0.0,,0.0
,50.0,,,,1785361779,LONG,,,,22.0,v1,v1,54.1,REGIME_EXPLORE,185835.0,21.0,,,,-3.5229,RANGE,0.0,False,NULL,,-53817.9,47,"{""candidate_state"": ""provisional"", ""reje",-70.4577,-3.5229,0,LOSS,,validation_signal:47,True,,DOGE,,0.0,50.0,0.0,,0.0
,50.0,,,,1785361779,LONG,,,,22.0,v1,v1,54.1,REGIME_EXPLORE,185835.0,21.0,,,,0.0,RANGE,6.3085,False,NULL,,-53817.9,48,"{""candidate_state"": ""provisional"", ""reje",126.1708,6.3085,1,WIN,,validation_signal:48,True,,ETH,,0.0,50.0,0.0,,0.0
,50.0,,,,1785361779,LONG,,,,22.0,v1,v1,54.1,REGIME_EXPLORE,185835.0,21.0,,,,-7.9716,RANGE,0.0,False,NULL,,-53817.9,49,"{""candidate_state"": ""provisional"", ""reje",-159.432,-7.9716,0,LOSS,,validation_signal:49,True,,INJ,,0.0,50.0,0.0,,0.0
,50.0,,,,1785361779,LONG,,,,22.0,v1,v1,54.1,REGIME_EXPLORE,185835.0,21.0,,,,0.0,RANGE,4.1551,False,NULL,,-53817.9,50,"{""candidate_state"": ""provisional"", ""reje",83.1011,4.1551,1,WIN,,validation_signal:50,True,,LINK,,0.0,50.0,0.0,,0.0
,50.0,,,,1785262354,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,86410.0,21.0,,,,0.0,RANGE,0.0,False,NULL,,72.0,18,"{""candidate_state"": ""provisional"", ""reje",0.0,0.0,0,BE,,validation_signal:18,True,,TON,,0.0,50.0,0.0,,0.0
,50.0,,,,1785262354,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,86410.0,21.0,,,,0.0,RANGE,0.0,False,NULL,,-54210.8,32,"{""candidate_state"": ""provisional"", ""reje",0.0,0.0,0,BE,,validation_signal:32,True,,MATIC,,0.0,50.0,0.0,,0.0
,50.0,,,,1785262354,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,86410.0,21.0,,,,0.0,RANGE,0.0,False,NULL,,-54224.779,38,"{""candidate_state"": ""provisional"", ""reje",0.0,0.0,0,BE,,validation_signal:38,True,,TON,,0.0,50.0,0.0,,0.0
,50.0,,,,1785225126,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,49182.0,21.0,,,,0.0,RANGE,9.8741,False,NULL,,72.0,8,"{""candidate_state"": ""provisional"", ""reje",115.1065,5.7553,1,WIN,,validation_signal:8,True,,ETH,,0.0,50.0,0.0,,0.0
,50.0,,,,1785225126,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,49182.0,21.0,,,,0.0,RANGE,9.8741,False,NULL,,-54210.8,28,"{""candidate_state"": ""provisional"", ""reje",115.1065,5.7553,1,WIN,,validation_signal:28,True,,ETH,,0.0,50.0,0.0,,0.0
,50.0,,,,1785223376,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,47432.0,21.0,,,,0.0,RANGE,9.6149,False,NULL,,72.0,10,"{""candidate_state"": ""provisional"", ""reje",109.9569,5.4978,1,WIN,,validation_signal:10,True,,LINK,,0.0,50.0,0.0,,0.0
,50.0,,,,1785223376,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,47432.0,21.0,,,,0.0,RANGE,9.6149,False,NULL,,-54210.8,30,"{""candidate_state"": ""provisional"", ""reje",109.9569,5.4978,1,WIN,,validation_signal:30,True,,LINK,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,-1.4654,RANGE,1.9898,False,NULL,,72.0,4,"{""candidate_state"": ""provisional"", ""reje",-29.3074,-1.4654,0,LOSS,,validation_signal:4,True,,AVAX,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,-0.7004,RANGE,1.055,False,NULL,,72.0,5,"{""candidate_state"": ""provisional"", ""reje",-14.0076,-0.7004,0,LOSS,,validation_signal:5,True,,BNB,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,0.0,RANGE,4.1055,False,NULL,,72.0,6,"{""candidate_state"": ""provisional"", ""reje",39.6243,1.9812,1,WIN,,validation_signal:6,True,,BTC,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,0.0,RANGE,4.5242,False,NULL,,72.0,11,"{""candidate_state"": ""provisional"", ""reje",53.7355,2.6868,1,WIN,,validation_signal:11,True,,MANTA,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,-1.0495,RANGE,2.5487,False,NULL,,72.0,20,"{""candidate_state"": ""provisional"", ""reje",-20.9895,-1.0495,0,LOSS,,validation_signal:20,True,,XRP,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,-1.4654,RANGE,1.9898,False,NULL,,72.0,24,"{""candidate_state"": ""provisional"", ""reje",-29.3074,-1.4654,0,LOSS,,validation_signal:24,True,,AVAX,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,-0.7004,RANGE,1.055,False,NULL,,72.0,25,"{""candidate_state"": ""provisional"", ""reje",-14.0076,-0.7004,0,LOSS,,validation_signal:25,True,,BNB,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,0.0,RANGE,4.1055,False,NULL,,-54210.8,26,"{""candidate_state"": ""provisional"", ""reje",39.6243,1.9812,1,WIN,,validation_signal:26,True,,BTC,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,0.0,RANGE,4.5242,False,NULL,,-54210.8,31,"{""candidate_state"": ""provisional"", ""reje",53.7355,2.6868,1,WIN,,validation_signal:31,True,,MANTA,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,-2.4696,RANGE,1.5627,False,NULL,,-54214.439,36,"{""candidate_state"": ""provisional"", ""reje",-49.3923,-2.4696,0,LOSS,,validation_signal:36,True,,SOL,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,-1.0495,RANGE,2.5487,False,NULL,,-54298.597,40,"{""candidate_state"": ""provisional"", ""reje",-20.9895,-1.0495,0,LOSS,,validation_signal:40,True,,XRP,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,-1.2517,RANGE,1.7023,False,NULL,,-54319.7,42,"{""candidate_state"": ""provisional"", ""reje",-25.0334,-1.2517,0,LOSS,,validation_signal:42,True,,APT,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,-1.4654,RANGE,1.9898,False,NULL,,-54295.682,44,"{""candidate_state"": ""provisional"", ""reje",-29.3074,-1.4654,0,LOSS,,validation_signal:44,True,,AVAX,,0.0,50.0,0.0,,0.0
,50.0,,,,1785208599,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,32655.0,21.0,,,,-0.7004,RANGE,1.055,False,NULL,,-54351.762,45,"{""candidate_state"": ""provisional"", ""reje",-14.0076,-0.7004,0,LOSS,,validation_signal:45,True,,BNB,,0.0,50.0,0.0,,0.0
,50.0,,,,1785178183,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,2239.0,21.0,,,,0.0,RANGE,1.5521,False,NULL,,72.0,2,"{""candidate_state"": ""provisional"", ""reje",16.6889,0.8344,1,WIN,,validation_signal:2,True,,APT,,0.0,50.0,0.0,,0.0
,50.0,,,,1785178183,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,2239.0,21.0,,,,0.0,RANGE,0.0,False,NULL,,72.0,12,"{""candidate_state"": ""provisional"", ""reje",0.0,0.0,0,BE,,validation_signal:12,True,,MATIC,,0.0,50.0,0.0,,0.0
,50.0,,,,1785178183,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,2239.0,21.0,,,,0.0,RANGE,2.8011,False,NULL,,72.0,15,"{""candidate_state"": ""provisional"", ""reje",28.7115,1.4356,1,WIN,,validation_signal:15,True,,PEPE,,0.0,50.0,0.0,,0.0
,50.0,,,,1785178183,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,2239.0,21.0,,,,0.0,RANGE,1.5521,False,NULL,,72.0,22,"{""candidate_state"": ""provisional"", ""reje",16.6889,0.8344,1,WIN,,validation_signal:22,True,,APT,,0.0,50.0,0.0,,0.0
,50.0,,,,1785178183,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,2239.0,21.0,,,,0.0,RANGE,2.6961,False,NULL,,-54214.439,35,"{""candidate_state"": ""provisional"", ""reje",28.7115,1.4356,1,WIN,,validation_signal:35,True,,PEPE,,0.0,50.0,0.0,,0.0
,50.0,,,,1785177760,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,1816.0,21.0,,,,-10.979,RANGE,0.0,False,NULL,,-54319.7,43,"{""candidate_state"": ""provisional"", ""reje",-219.5806,-10.979,0,LOSS,,validation_signal:43,True,,ARB,,0.0,50.0,0.0,,0.0
,50.0,,,,1785177646,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,1702.0,21.0,,,,0.0,RANGE,1.2021,False,NULL,,72.0,16,"{""candidate_state"": ""provisional"", ""reje",10.1509,0.5075,1,WIN,,validation_signal:16,True,,SOL,,0.0,50.0,0.0,,0.0
,50.0,,,,1785177584,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,1640.0,21.0,,,,0.0,RANGE,0.2525,False,NULL,,-54298.597,41,"{""candidate_state"": ""provisional"", ""reje",0.0,0.0,0,BE,,validation_signal:41,True,,ADA,,0.0,50.0,0.0,,0.0
,50.0,,,,1785176673,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,729.0,21.0,,,,-1.3215,RANGE,0.0,False,NULL,,-54223.889,39,"{""candidate_state"": ""provisional"", ""reje",-26.43,-1.3215,0,LOSS,,validation_signal:39,True,,WIF,,0.0,50.0,0.0,,0.0
,50.0,,,,1785176532,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,588.0,21.0,,,,0.0,RANGE,0.5051,False,NULL,,72.0,1,"{""candidate_state"": ""provisional"", ""reje",2.5253,0.1263,1,WIN,,validation_signal:1,True,,ADA,,0.0,50.0,0.0,,0.0
,50.0,,,,1785176532,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,588.0,21.0,,,,0.0,RANGE,0.5051,False,NULL,,72.0,21,"{""candidate_state"": ""provisional"", ""reje",2.5253,0.1263,1,WIN,,validation_signal:21,True,,ADA,,0.0,50.0,0.0,,0.0
,50.0,,,,1785176402,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,458.0,21.0,,,,-4.0099,RANGE,0.0,False,NULL,,-54214.439,37,"{""candidate_state"": ""provisional"", ""reje",-80.1971,-4.0099,0,LOSS,,validation_signal:37,True,,SUI,,0.0,50.0,0.0,,0.0
,50.0,,,,1785176314,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,370.0,21.0,,,,-9.0809,RANGE,0.0,False,NULL,,-54214.439,34,"{""candidate_state"": ""provisional"", ""reje",-181.6184,-9.0809,0,LOSS,,validation_signal:34,True,,OP,,0.0,50.0,0.0,,0.0
,50.0,,,,1785176313,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,369.0,21.0,,,,-0.4577,RANGE,0.0,False,NULL,,-54210.8,27,"{""candidate_state"": ""provisional"", ""reje",-9.154,-0.4577,0,LOSS,,validation_signal:27,True,,DOGE,,0.0,50.0,0.0,,0.0
,50.0,,,,1785176070,LONG,,,,22.0,v1,v1,54.1,INSUFFICIENT_HISTORY,126.0,21.0,,,,-2.1907,RANGE,0.0,False,NULL,,-54210.8,29,"{""candidate_state"": ""provisional"", ""reje",-43.8134,-2.1907,0,LOSS,,validation_signal:29,True,,INJ,,0.0,50.0,0.0,,0.0
